Location,Date,Temperature,Humidity
Mumbai,2021-05-02 09:54:14.056608,30.7,93.9
Mumbai,2021-05-02 09:54:16.315918,30.7,93.9
Mumbai,2021-05-02 09:54:18.575199,30.7,94.0
Mumbai,2021-05-02 09:54:20.834492,30.7,94.0
Mumbai,2021-05-02 09:54:23.093702,30.7,94.0
Mumbai,2021-05-02 09:54:25.353009,30.7,94.0
Mumbai,2021-05-02 09:54:27.612300,30.7,94.0
Mumbai,2021-05-02 09:54:29.871626,30.7,94.0
Mumbai,2021-05-02 09:54:32.130931,30.7,94.0
Mumbai,2021-05-02 09:54:34.390208,30.7,94.0
Mumbai,2021-05-02 09:54:36.649438,30.7,94.0
Mumbai,2021-05-02 09:54:38.908741,30.7,94.0
Mumbai,2021-05-02 09:54:41.168077,30.7,94.0
Mumbai,2021-05-02 09:54:43.427327,30.7,94.0
Mumbai,2021-05-02 09:54:45.686643,30.7,94.0
Mumbai,2021-05-02 09:54:47.945928,30.7,94.0
Mumbai,2021-05-02 09:54:50.205162,30.7,94.0
Mumbai,2021-05-02 09:54:52.464477,30.7,94.0
Mumbai,2021-05-02 09:54:54.723796,30.7,94.0
Mumbai,2021-05-02 09:54:56.983152,30.7,94.0
Mumbai,2021-05-02 09:54:59.242772,30.7,94.0
Mumbai,2021-05-02 09:55:01.502288,30.7,94.1
Mumbai,2021-05-02 09:55:03.761519,30.7,94.0
Mumbai,2021-05-02 09:55:06.020899,30.7,94.0
Mumbai,2021-05-02 09:55:08.280149,30.7,94.1
Mumbai,2021-05-02 09:55:10.539511,30.7,94.1
Mumbai,2021-05-02 09:55:12.798850,30.7,94.0
Mumbai,2021-05-02 09:55:15.058177,30.7,94.1
Mumbai,2021-05-02 09:55:17.317499,30.7,94.1
Mumbai,2021-05-02 09:55:19.576825,30.7,94.0
Mumbai,2021-05-02 09:55:21.836022,30.7,94.0
Mumbai,2021-05-02 09:55:24.095346,30.7,94.0
Mumbai,2021-05-02 09:55:26.354632,30.7,94.0
Mumbai,2021-05-02 09:55:28.613907,30.7,94.0
Mumbai,2021-05-02 09:55:30.873252,30.7,94.0
Mumbai,2021-05-02 09:55:33.132547,30.7,94.0
Mumbai,2021-05-02 09:55:35.391878,30.7,94.0
Mumbai,2021-05-02 09:55:37.651220,30.7,94.0
Mumbai,2021-05-02 09:55:39.910534,30.8,94.0
Mumbai,2021-05-02 09:55:42.169809,30.8,94.0
Mumbai,2021-05-02 09:55:44.429123,30.8,94.0
Mumbai,2021-05-02 09:55:46.688458,30.8,94.0
Mumbai,2021-05-02 09:55:48.947475,30.8,94.0
Mumbai,2021-05-02 09:55:51.206846,30.8,94.0
Mumbai,2021-05-02 09:55:53.465857,30.8,94.0
Mumbai,2021-05-02 09:55:55.725110,30.8,94.0
Mumbai,2021-05-02 09:55:57.984368,30.8,94.0
Mumbai,2021-05-02 09:56:00.243677,30.8,94.0
Mumbai,2021-05-02 09:56:02.503009,30.8,93.9
Mumbai,2021-05-02 09:56:04.762372,30.8,93.9
Mumbai,2021-05-02 09:56:07.021641,30.8,93.9
Mumbai,2021-05-02 09:56:09.280946,30.8,93.9
Mumbai,2021-05-02 09:56:11.540260,30.8,93.9
Mumbai,2021-05-02 09:56:13.799564,30.8,93.9
Mumbai,2021-05-02 09:56:16.058867,30.8,93.9
Mumbai,2021-05-02 09:56:18.318083,30.8,93.9
Mumbai,2021-05-02 09:56:20.577412,30.8,93.9
Mumbai,2021-05-02 09:56:22.837306,30.8,93.8
Mumbai,2021-05-02 09:56:25.096619,30.8,93.8
Mumbai,2021-05-02 09:56:27.355718,30.9,93.9
Mumbai,2021-05-02 09:56:29.615019,30.9,93.8
Mumbai,2021-05-02 09:56:31.874314,30.9,93.8
Mumbai,2021-05-02 09:56:34.133132,30.9,93.8
Mumbai,2021-05-02 09:56:36.392511,30.9,93.8
Mumbai,2021-05-02 09:56:38.651783,30.9,93.8
Mumbai,2021-05-02 09:56:40.911013,30.9,93.8
